vin,car_model,car_mk,car_model_yyyy,color,created_at,num
WVWAN7AN3EE503508,Element,Honda,2006,Turquoise,2021-07-27 09:58:24,
1C4SDHCT4CC619589,Solara,Toyota,2007,Green,2021-03-05 21:45:44,19.157
1N6AA0CH5DN588132,Neon,Dodge,2000,Blue,2021-08-29 10:48:58,67.733
WAULD54B32N146065,Type 2,Volkswagen,,,2021-06-22 22:22:15,70.086
1HGCR2E34DA110956,Fiero,Pontiac,1988,Pink,2021-02-26 13:32:38,66.544
5GAKVDKD8DJ518098,Yukon Denali,GMC,2000,Red,2021-08-26 09:50:15,33.656
3VW4A7AT1CM605725,Ram,Dodge,1994,Pink,2021-02-05 13:50:08,
1G4HP57M69U468790,Town & Country,Chrysler,,,2021-12-22 20:24:04,19.768
WBA3V7C57EJ839415,Gemini,Pontiac,1989,Fuscia,2021-05-17 08:05:45,
3D7JB1EP1BG087048,Villager,Mercury,1995,Yellow,2021-11-03 18:10:44,69.478
WAU3FAFR0AA100647,760,BMW,2006,Pink,2021-12-05 21:54:47,
1FTSW2A5XAE076226,Yukon XL 1500,GMC,2000,Maroon,2021-03-19 20:48:55,
KMHFH4JG6FA797701,Neon,Dodge,1996,Violet,2021-01-25 23:44:30,76.296
WAUDF78E97A653467,Silverado 1500,Chevrolet,2005,Teal,2021-05-08 10:16:26,
2B3CA5CT2AH055707,Lumina,Chevrolet,1999,Yellow,2021-06-06 19:59:08,
1N6AA0EJ1FN463695,Prius,Toyota,2003,Orange,2021-02-12 05:11:26,82.412
1G6KD57Y79U484103,Grand Prix,Pontiac,2002,Puce,2021-07-29 23:49:37,30.328
3VW117AU6FM004522,3500,GMC,,,2021-10-06 06:18:31,33.92
2C3CDXGJ0FH020198,Skylark,Buick,1985,Khaki,2021-12-20 09:52:20,
W06VR54R11R451339,Econoline E350,Ford,2002,Mauv,2021-09-18 12:00:27,88.604
1N6BF0KL2FN196353,Mark LT,Lincoln,2008,Khaki,2021-01-27 10:27:42,35.118
YV1902FH9D1999793,2500 Club Coupe,GMC,1994,Orange,2021-03-24 04:24:17,39.193
1FMJK1H58EE581772,Pajero,Mitsubishi,,,2021-01-12 12:11:00,
WUARL48H65K794274,Sportage,Kia,1996,Violet,2021-09-18 08:43:49,
1FTWW3A57AE950474,Cavalier,Chevrolet,,,2021-11-25 19:13:52,14.936
1GYS4DEF3DR576730,E250,Ford,2009,Green,2021-06-30 16:13:36,
19UUB3F55FA070050,Tahoe,Chevrolet,1996,Crimson,2021-07-18 13:40:40,49.971
JN1AV7AP8FM745383,Tercel,Toyota,1992,Goldenrod,2021-09-29 12:21:25,
WAUCFAFH4BN532062,Eldorado,Cadillac,1994,Indigo,2021-02-23 12:47:51,
KL4CJHSB1FB251348,Q5,Audi,2012,Goldenrod,2021-04-16 02:50:07,83.036
2C3CCAST4CH059235,Town Car,Lincoln,2000,Pink,2021-10-18 07:03:28,69.058
5J8TB1H59CA608886,Tahoe,Chevrolet,1997,Violet,2021-07-15 07:44:59,86.167
WBAKF5C54DJ036315,LTD Crown Victoria,Ford,1993,Mauv,2021-10-17 16:25:37,
3C6JD6BP0CG613829,W201,Mercedes-Benz,1986,Aquamarine,2021-08-03 07:00:14,34.906
4T1BD1FK4EU348553,CR-V,Honda,1997,Blue,2021-08-11 10:11:11,
WBAEB53578C475592,Outlander,Mitsubishi,2003,Purple,2021-07-30 15:32:34,29.641
WAUHF98P67A971822,300SD,Mercedes-Benz,1993,Turquoise,2021-08-04 07:11:27,
JTDKDTB37D1963029,Econoline E150,Ford,1997,Yellow,2021-12-20 13:28:21,52.307
WAUDL64F15N878599,Sonoma,GMC,,,2021-01-23 09:13:25,
WAUFFAFL9FA056812,RX-7,Mazda,1993,Yellow,2021-07-06 11:47:31,84.168
1G6KD57YX9U541569,Biturbo,Maserati,,,2021-12-09 21:02:01,73.948
WBAEV53493K016125,M Roadster,BMW,2008,Purple,2021-01-24 09:29:54,
1G4GJ5E35CF324764,Supra,Toyota,1994,Orange,2021-01-25 23:43:25,
JM1NC2JF0F0422242,B-Series Plus,Mazda,2002,Aquamarine,2021-04-13 10:51:53,74.659
SCBBR53WX68223736,TundraMax,Toyota,2011,Turquoise,2021-05-13 11:49:29,93.319
JTDKN3DU5B0520660,M,Infiniti,2003,Red,2021-05-03 22:12:13,
JTHDU1EF3C5770627,QX,Infiniti,2007,Red,2021-11-01 17:54:13,10.663
3VW507AT1FM041019,Grand Caravan,Dodge,2006,Puce,2021-11-22 18:28:28,80.052
1D7RB1CT0BS382346,NSX,Acura,2001,Teal,2021-03-25 02:50:13,
WBAHN83598D793861,Laser,Plymouth,1991,Aquamarine,2021-06-13 14:24:17,3.81
WAUPEBFM1CA163824,911,Porsche,1985,Turquoise,2021-12-09 09:27:57,10.106
WAUDG78E06A539840,Accent,Hyundai,1998,Violet,2021-03-27 02:11:04,
SCBLF34F64C456779,Durango,Dodge,2004,Mauv,2021-06-27 18:14:30,15.918
KMHCM3AC5AU483115,G35,Infiniti,,,2021-02-10 16:43:59,79.006
JH4KC1F32EC903858,Tacoma,Toyota,2006,Yellow,2021-11-13 02:16:04,87.93
1G4PR5SK1E4024528,Amanti,Kia,2007,Yellow,2021-02-07 21:34:54,
WDCYC7DF0FX268817,Quattroporte,Maserati,2007,Violet,2021-11-08 02:37:00,
1G6DL67A890999901,Escort,Ford,1988,Teal,2021-06-26 19:59:11,
2G4GV5GV9D9360101,Tempo,Ford,1987,Maroon,2021-12-22 10:33:23,48.165
4JGDF2EE9FA055514,Q,Infiniti,1997,Goldenrod,2021-07-18 06:48:23,99.949
WAUMF98KX9A479896,Avalon,Toyota,1995,Yellow,2021-07-08 07:16:22,76.721
WDDGF4HB9EA361339,Electra,Buick,1984,Blue,2021-03-12 18:53:39,
3N1AB7AP5FY072185,370Z,Nissan,2010,Puce,2021-08-23 21:06:45,99.75
1FM5K7B89FG344303,F150,Ford,1993,Puce,2021-06-29 00:50:45,7.276
1G6DM57N640814733,Riviera,Buick,1999,Khaki,2021-04-17 19:53:41,
JN1CV6FEXBM823666,PT Cruiser,Chrysler,2006,Khaki,2021-12-09 18:28:50,40.519
JTEBU5JR1A5416453,Quattroporte,Maserati,2010,Orange,2021-06-29 21:14:28,87.213
WAUPL58E95A413018,M3,BMW,2009,Fuscia,2021-05-25 06:16:46,
WA1YD64B75N562679,1500,Chevrolet,,,2021-05-11 21:16:38,
1FTEW1CW2AF320717,EX,Infiniti,2010,Crimson,2021-06-02 09:24:34,
5GALRBEDXAJ346368,G-Series G20,Chevrolet,1995,Purple,2021-12-16 14:13:53,72.026
1G6KF57932U133343,Eclipse,Mitsubishi,2003,Crimson,2021-12-12 00:50:41,97.262
1C3CCBCB2CN367720,Optima,Kia,2008,Indigo,2021-04-20 08:16:13,
WBA3V9C54EP741015,4000,Audi,1987,Indigo,2021-11-16 11:33:06,
2G4GT5GV6D9347635,Supra,Toyota,1998,Fuscia,2021-01-04 16:59:37,4.712
3D4PH6FV7AT465203,Intrepid,Dodge,2001,Pink,2021-12-14 12:51:22,
3C3CFFCR6DT797263,Civic,Honda,2010,Puce,2021-10-25 23:13:07,
WAUDH78E26A744279,Liberty,Jeep,2012,Khaki,2021-05-09 00:44:56,
3LN6L2G96FR851175,Ram 2500,Dodge,1999,Pink,2021-07-02 10:16:29,19.597
WVGEF9BP4FD658484,XC90,Volvo,2012,Green,2021-05-05 18:32:03,75.691
1GYS4FEJ0DR251016,Galant,Mitsubishi,1992,Goldenrod,2021-03-12 00:27:06,39.054
1GYS3RKJ7FR330081,Miata MX-5,Mazda,2012,Yellow,2021-04-11 10:58:46,87.246
SCBFU7ZA8EC220126,9-5,Saab,2002,Indigo,2021-10-15 12:07:54,
1G4CU541X54344027,Festiva,Ford,1991,Indigo,2021-10-05 18:48:45,74.895
1FMJK1G53AE536105,Focus,Ford,2009,Fuscia,2021-10-01 04:46:27,84.512
3GYFNBE38ES671811,Bonneville,Pontiac,1984,Orange,2021-04-04 06:42:13,37.874
1FTWX3B56AE703796,Crossfire,Chrysler,,,2021-01-12 14:50:54,32.363
3GYEK63N62G100607,Edge,Ford,,,2021-02-11 13:44:56,44.91
JN1CV6EK3CM927036,Nubira,Daewoo,2002,Green,2021-06-01 00:32:05,49.391
4F2CY0C78BK918407,S5,Audi,2012,Crimson,2021-09-26 17:29:04,11.958
JN1CV6AP8CM132310,CR-V,Honda,,,2021-07-30 12:55:08,12.082
WAUAF98E65A119841,Sierra 1500,GMC,2005,Khaki,2021-10-11 03:09:03,22.797
1FAHP3EN9BW055802,Regal,Buick,2012,Red,2021-03-03 15:23:13,23.005
WAUEFAFL2DN714326,RL,Acura,1996,Fuscia,2021-09-12 09:16:56,17.654
WBXPC9C42AW204793,GLI,Volkswagen,2009,Red,2021-11-06 09:59:55,77.038
JA4AS2AWXBU500931,Stratus,Dodge,,,2021-09-22 19:54:16,
WBAYE4C54DD771530,XC70,Volvo,2005,Pink,2021-06-04 23:49:14,
WAUKH78E86A321018,Ram 1500 Club,Dodge,1997,Orange,2021-04-22 19:03:12,79.978
5FRYD4H48EB206373,Capri,Mercury,1984,Green,2021-09-19 13:17:42,10.368
1C4AJWAG0FL990767,A5,Audi,2011,Red,2021-04-15 07:22:38,84.532
SCFEBBDL9EG150902,Safari,GMC,1999,Puce,2021-07-24 08:04:26,4.339
WBSPM9C58AE431424,GTI,Volkswagen,2002,Green,2021-02-09 12:02:49,84.807
WAUHF78PX8A337712,Firebird,Pontiac,1996,Crimson,2021-01-13 09:10:46,
1G6AM5S38D0285035,LR3,Land Rover,2007,Maroon,2021-11-10 00:29:54,
WDDGF4HB6ER350591,B-Series Plus,Mazda,1999,Khaki,2021-04-28 05:47:22,
WDDHF7GB0EA359051,Avenger,Dodge,1996,Pink,2021-04-13 12:57:58,
WA1EY94L99D315337,Bronco,Ford,1992,Puce,2021-08-19 19:43:15,
1FTEX1CM4BF708240,Starion,Mitsubishi,1985,Orange,2021-05-19 16:12:11,48.563
3D73Y3CLXBG767906,V70,Volvo,2009,Green,2021-10-23 01:14:00,97.092
2G4WS52J911743474,7 Series,BMW,1997,Teal,2021-01-16 04:28:16,
SCBDC47L19C139875,Maxima,Nissan,2008,Mauv,2021-04-18 02:37:17,15.828
WBABS33433P511455,Mustang,Ford,2002,Indigo,2021-06-08 12:25:43,27.625
1FTEW1CM6CF997612,TundraMax,Toyota,,,2021-04-28 06:57:34,
2T1BU4EE1DC070692,G-Series 2500,Chevrolet,1996,Pink,2021-09-08 05:01:57,16.865
1C3CDFDH2ED345278,Bonneville,Pontiac,2002,Red,2021-05-19 20:57:05,48.967
1D7RE3GK4BS118647,LaCrosse,Buick,2008,Fuscia,2021-09-14 08:05:38,61.653
1G6DS8ED2B0471823,Rondo,Kia,2007,Pink,2021-10-28 08:52:38,80.361
WA1CMAFE3AD213801,Roadster,Tesla,2011,Maroon,2021-10-09 19:35:25,60.345
3VWML7AJ8BM147219,H3,Hummer,2007,Goldenrod,2021-05-12 01:02:45,68.218
1G6DH5EG1A0735930,929,Mazda,1988,Goldenrod,2021-02-15 18:12:51,25.226
3GYT4LEF7DG565485,Sportvan G20,Chevrolet,,,2021-10-21 22:01:53,20.46
5NPET4AC9AH905273,SC,Lexus,2008,Purple,2021-07-12 23:12:55,
WAUNG94F49N410219,Aerio,Suzuki,2005,Violet,2021-04-01 15:20:56,
1G6KD57Y88U591109,Sonoma,GMC,1996,Mauv,2021-09-14 12:13:27,
3GYFNGE37CS381781,Defender 90,Land Rover,1995,Turquoise,2021-05-10 12:23:38,63.468
1G6KD57Y42U684362,Trooper,Isuzu,1994,Green,2021-10-17 23:36:36,91.097
3N1AB7AP1FL611267,Tracker,Geo,1996,Indigo,2021-12-08 07:51:15,82.452
5GAKVBKD3FJ795524,W201,Mercedes-Benz,,,2021-07-22 09:43:46,31.12
1G6DU6EV9A0187918,IS-F,Lexus,2010,Blue,2021-04-11 08:27:27,25.283
JH4CW2H59BC567394,Econoline E350,Ford,1992,Goldenrod,2021-03-07 15:01:08,16.886
1GKS1EEF8ER171862,XK,Jaguar,2010,Turquoise,2021-05-14 10:01:55,79.904
2HNYD2H37DH861270,Phantom,Rolls-Royce,2009,Indigo,2021-08-22 07:35:57,81.304
WP0AA2A81AU913457,4Runner,Toyota,2000,Yellow,2021-09-15 19:02:23,56.292
2G4WF551841349615,Tahoe,Chevrolet,1998,Teal,2021-10-10 16:47:38,9.389
WAUCFAFR8DA551751,B-Series Plus,Mazda,1994,Purple,2021-07-27 03:36:08,28.799
YV126MEC8F1486264,Tahoe,Chevrolet,1998,Goldenrod,2021-02-08 18:15:19,56.843
4T1BK1EB2FU570582,Intrepid,Dodge,2003,Puce,2021-11-26 03:53:13,
JM1NC2SF8F0549870,Celica,Toyota,2001,Maroon,2021-08-20 18:44:20,5.19
19UUA56763A081084,Rodeo,Isuzu,2000,Goldenrod,2021-11-18 08:38:22,57.064
YV1622FS2C2746428,9-3,Saab,2000,Crimson,2021-06-01 22:12:46,
2T1BPRHE2FC849991,I,Infiniti,2000,Puce,2021-06-05 13:12:54,72.71
WAUGL78E56A923587,Cutlass Supreme,Oldsmobile,1997,Khaki,2021-06-19 19:33:30,57.129
3GTU1YEJ9BG828898,F-Series,Ford,,,2021-06-21 16:41:49,
3VWPG3AG3AM074063,rio,Volkswagen,1997,Pink,2021-12-27 09:59:30,19.851
WAUEFBFL2AN438702,S8,Audi,2008,Pink,2021-03-12 12:37:15,48.826
2GKALMEK8E6415552,Neon,Dodge,1997,Turquoise,2021-11-18 19:53:35,42.492
1FMEU5DE0AU597909,Bronco,Ford,,,2021-03-08 19:14:35,2.711
WDDGF5EB7BA434472,R-Class,Mercedes-Benz,2011,Green,2021-11-11 00:00:49,
1GYUCCEF5AR452153,Ram 2500 Club,Dodge,1997,Puce,2021-06-09 10:16:22,14.94
WBAEJ13431A702183,Windstar,Ford,,,2021-04-02 21:44:43,48.398
1GYS3PKJ4FR668476,Mustang,Ford,2008,Pink,2021-03-18 04:19:51,23.924
1G6DJ8E31C0080934,Daewoo Lacetti,Suzuki,2007,Mauv,2021-09-02 22:08:03,93.132
YV440MBC6F1570276,Camry,Toyota,1994,Teal,2021-10-20 16:01:34,35.4
4T1BK3DB3CU394800,Prelude,Honda,1997,Yellow,2021-03-13 23:18:08,20.927
1D7RW3BK1AS462231,C8 Spyder Wide Body,Spyker,2004,Khaki,2021-03-10 07:53:10,10.003
1GYFK33269R665412,Cordia,Mitsubishi,1985,Blue,2021-07-11 06:12:27,53.065
WBA3D3C55EF640264,Grand Prix,Pontiac,1989,Mauv,2021-03-28 20:24:31,72.402
1FTWX3A53AE825923,Crown Victoria,Ford,1994,Pink,2021-12-08 23:47:50,
1G6DU6ED0B0905980,Quattroporte,Maserati,2009,Goldenrod,2021-08-21 13:50:56,97.936
2G4WD582091573995,Genesis,Hyundai,2010,Aquamarine,2021-02-01 14:10:04,20.626
WAUNG74FX9N730648,Torrent,Pontiac,2008,Fuscia,2021-08-11 06:35:28,99.072
2C3CDYBT9DH129111,VUE,Saturn,2006,Green,2021-06-22 10:20:40,1.818
1FTSW3B57AE799357,MX-6,Mazda,1994,Goldenrod,2021-09-08 23:12:42,21.887
5GALRAED6AJ648850,Savana 2500,GMC,1999,Red,2021-10-01 18:19:36,32.376
1FTMF1EW9AK850831,2500,GMC,1992,Turquoise,2021-11-07 00:11:00,
1GYFK33299R251959,Sequoia,Toyota,2004,Crimson,2021-09-10 12:34:50,57.501
1FMJK1H53DE865244,TL,Acura,2003,Purple,2021-11-25 04:23:18,
SCFBF04B48G171938,Tiburon,Hyundai,2008,Red,2021-05-10 09:14:01,
WBSPM9C51BE831584,Yukon XL 2500,GMC,2006,Orange,2021-03-15 22:01:51,
5UXKU6C52F0934398,Freestar,Ford,2003,Indigo,2021-05-13 05:51:21,98.926
WBA1F7C52FV405434,Tucson,Hyundai,2006,Mauv,2021-02-05 23:57:27,43.902
